sentence_id,syllabary,phonetic,english,sentence_notes,sources
3e13eb337f0d,ᏑᏓᎵ ᎢᏳᏩᏂᎸ ᏑᎾᎴ * ᎦᏗᏗᏍᎪᎢ.*,sǔ:dáli iyúwa:hnilv̋ suná:le̋ * gadi:dǐ:sgó:'i *,*I rise* at 6 a.m.,,cn-app-dictionary.csv
e91cc32219c0,ᏗᎪᏪᎵ ᎦᏍᎩᎸ ᏚᏝᎥ * ᏚᏗᎦᎴᏴ * ᏗᎪᏪᎶᏗ ᎤᏯᎳ.,digo:hwe:lî ga:sgilv̋ dù:hlá'v̋ * dù:di:galé:yv * digo:hwe̋:lò:dî ù:hyála,*He scattered* the papers on the table when he looked for his pencil.,,cn-app-dictionary.csv
d5e414bd552d,ᎠᎿᏬ ᎤᎵᎬᎭᎷᏴ * ᎤᏗᎦᎴᏲᏨ * ᏍᏓᏯ ᎤᏃᎸᎾ.,ahnawó: ù:lgv:halû:hyv̋ * ù:digalě:jô:jv́* sda̋:ya ù:no:lv̋:na,Pieces of cloth *scattered* when the wind blew hard.,,cn-app-dictionary.csv
ee50ff279842,ᎠᏯᏄᎵ * ᎠᏗᏆᎸᏕᏲᎭ * ᎦᏆᏛ ᎠᎴᏫᏍᏙᏙᏗᎢ.,ayanu:lí * à:dí:gwalv:dé:yoha * gá:gwatv̋: ale:hwisdohdohdi̋:'i,The wheel is *spinning* too fast to stop.,,cn-app-dictionary.csv
bde69e7a2d64,ᎦᏙ ᎤᏍᏗ * ᎠᏗᎭ?*,gado u:sdi * à:dǐ:ha *,What *is he saying?*,,cn-app-dictionary.csv
a06299d9d670,ᏅᏃᎯ ᏕᏥᎾᏗᏫᏍᎬ ᎠᎴ ᏓᏆᎴᎳ * ᎾᏆᏗᏅᏔᏅᎢ.*,nv:no:hi̋ de:jínadí:wsgv̋: halé: dagwalé:la * nàgwadǐ:nv̂:tanv̌:'i *,Crossing the road‚ I was almost *run over* by a car.,,cn-app-dictionary.csv
ce25963cd145,ᏗᎾᏓᏂᏱᏍᎩ ᏚᎪᎭ ᏗᏓᎯᎯ * ᎤᏗᏍᎦᏝᏅᎢ.*,di:nada:níyi̋:sgi dù:gő:ha di:da̋:hihi * ù:di:sgahlanv́:'i *,When the killer saw the police *he hid.*,,cn-app-dictionary.csv
2cf8df6633ff,* ᎯᏗᏏᏯ * ᎦᏍᎩᎶ. Ꮭ ᏳᏜᏅᏓ ᎦᎳᏗᏍᏗ ᏓᏆᎴᎷᎢ.,* hidì:sǐ:ya * ga:sgiló hlá yu:dlánv:da galadì:sdi̋ dagwalé:lű:'i,*Leave* the chair. There isn't room to put it in the car.,,cn-app-dictionary.csv
fd4ee923eeb1,ᎦᏙ ᎤᏍᏗ * ᎠᏗᏔᏍᏗ * ᏣᏚᎵ?,gado ű:sdi * adi̋:tasdi * jadu:lí,What kind of *drink* do you want?,,cn-app-dictionary.csv
033e7cfef8ab,ᎨᎻᎵ ᏥᏈᏍᏓ ᎠᎹ * ᎠᎾᏗᏔᏍᎪᎢ.*,kěmíli tsgwi̋:sda ama * à:nadi:tasgó:'i *,Camels *drink* a lot of water.,,cn-app-dictionary.csv
a301b1a20b1a,* ᎠᏗᏙᏗ * ᎬᏗ ᎠᏗᏔᏍᎦ ᎤᎦᎹ.,* adi:tóhdi̋:* gvhdi̋: à:di:tasga u:gáma,He's drinking soup with a *spoon.*,,cn-app-dictionary.csv
5c4265b7bddf,* ᎠᏜ * ᎠᎪᎲᏍᎬ ᏚᎦᏒᏍᏛ ᏥᎪᏩᏘᎭ.,* a:dla * à:góhvsgv̋: dù:ksv̌:sdv̋: jigò:wahtǐ:ha,I see smoke from burning *rubber.*,,cn-app-dictionary.csv
295728eec00d,ᏙᏌ ᎤᏍᎦᎵᏨ * ᎠᏜᎪᏍᎦ * ᎠᏧᏣ.,do:sa u:sgahljv̋: * à:dlago:sga * achű:ja,The boy is *scratching* where a mosquito bit him.,,cn-app-dictionary.csv
3ff35fdeefda,ᎦᏌᎴᏂ * ᎠᏜᏩᏛ * ᏕᎦᏝ ᎠᏕᎳ.,gà:salě:ni * à:dlǎ:wá'dv̋:* dě:gáhla adě:la,The money is in the *coat pocket.*,,cn-app-dictionary.csv
fc3d2f6b30f7,ᎭᏢ ᎢᏴ * ᎤᏞᏎᎢ?*,ha:hlv́ iyv̋: * ù:dlé:sé:'i *,Where *did he turn off?*,,cn-app-dictionary.csv
761de19e7ae5,*ᎤᏞᏤᏗ* ᎤᏚᎸᎲ ᎠᏎᏍᎩᏂ Ꮭ ᎥᏍᎩ ᏱᏄᏛᏁᎴᎢ.,u:dlè:chéhdi̋ *ù:du:lv:hv́* a:sé:sginí hla v̀:sgi yinu:dv̂:ne:lé:'i,He wanted *to take revenge* against him but he didn't do it.,,cn-app-dictionary.csv
974e1b904979,ᏞᏍᏗ * ᎠᏞᎢᏍᏗ * ᏱᏣᏲᎮᏍᏗ.,hlè:sdí * adle'isdi * yijahyóhé:sdi,Don't be looking for *revenge.*,,cn-app-dictionary.csv
